Date,Time,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passengers,Aboard Crew,Fatalities,Fatalities Passengers,Fatalities Crew,Ground,Summary,Location,Latitude,Longitude,geometry,Percent Survived,Country,Year,GDP,Departure,"Departure Lat,Lng",Departure Country
1927-07-27,,Deutsche Lufthansa,,Kassel - Frankfurt,Junkers F-13,D-206,591,5.0,3.0,2.0,5.0,3.0,2.0,0.0,Crashed after experiencing engine failure and attempting to make a forced landing.,"Amoneburg, Germany",50.79946485,8.9412917948805,POINT (50.79946485 8.941291794880501),100.0,Germany,1927,0.0,Kassel,"51.3127114,9.4797461",Hessen
1927-08-22,08:30,KLM Royal Dutch Airlines,,Croydon - Schiphol,Fokker F-VIII,H-NADU H-NADU,4993,11.0,9.0,2.0,1.0,0.0,1.0,0.0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.","Sevenoaks, England",51.27452185,0.19611655621949808,POINT (51.27452185 0.1961165562194981),9.090909090909092,United Kingdom,1927,0.0,Croydon,"51.376165,-0.098234",United Kingdom
1927-09-17,04:05,Private,,Old Orchad Beach - Rome,Fokker F7,NX703,4899/0501,3.0,1.0,2.0,3.0,1.0,2.0,0.0,"While flying 1,000 km east of the Canadian coast, the crew sent a mayday message and the aircraft crashed into the ocean two minutes later. The plane was owned by William Randolph Hearst who financed this nonstop transatlantic flight.",Atlantic Ocean,13.581921,-38.320312,POINT (13.581921 -38.320312),100.0,,1927,0.0,Old Orchad Beach,"43.5177659,-70.3772911",Maine
1927-11-08,,CIDNA,,Strasbourg - Paris,Farman F-121 Jabiru,F-AIBR,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The mail plane crashed shortly after taking off.,"Strasburg, France",48.584614,7.750712700000001,POINT (48.584614 7.750712700000001),100.0,France,1927,0.0,Strasbourg,"48.5734053,7.752111299999999",France
1927-12-28,,Aeropostale,,Dakar - Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,F-AFGS,227,1.0,0.0,1.0,1.0,0.0,1.0,0.0,A fire erupted aboard the mail plane while en route and crashed.,"Almeria, Spain",36.8414197,-2.4628134999999998,POINT (36.8414197 -2.4628135),100.0,Spain,1927,0.0,Dakar,"14.716677,-17.4676861",Senegal
1928-01-22,,Aeropostale,,Toulouse - Perpignan - Alicante - Casablanca - Dakar,Breguet 14,  F-AHEQ,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Crashed after experiencing mechanical difficulties.,"L'Hospitalet, Ariège",43.2297425,1.7138034,POINT (43.2297425 1.7138034),100.0,France,1928,0.0,Toulouse,"43.604652,1.444209",France
1928-03-11,,Air Union,,Paris - Croydon,Farman F-60 Goliath,F-AEFC,62/6943,2.0,0.0,2.0,2.0,0.0,2.0,0.0,Crashed into the sea while delivering mail in poor weather.,"Cape Griz Nez, France",41.89353,-8.76253,POINT (41.89353 -8.76253),100.0,Portugal,1928,0.0,Paris,"48.856614,2.3522219",France
1928-04-19,,Iberia Airlines,,Barcelona - Madrid,Rohrbach Roland,M-CCCC,36,9.0,7.0,2.0,9.0,7.0,2.0,0.0,Crashed into a field after getting lost in fog.,"Minuesa, Spain",39.6903253,-4.427360299999999,POINT (39.6903253 -4.427360299999999),100.0,Spain,1928,0.0,Barcelona,"40.51195999999999,-80.001637",Ross Township
1928-05-12,,Ford Air Freight Inc.,,Dearborn - Buffalo,Ford 4,NC1492,4-AT-001,2.0,0.0,2.0,2.0,0.0,2.0,0.0,The cargo plane crashed on it’s inaugural flight. The pilot tried to become airborne without sufficient speed.,"Dearborn, Minnesota",44.920035999999996,-93.390648,POINT (44.920036 -93.390648),100.0,United States,1928,0.0,Dearborn,"42.3222599,-83.17631449999999",United States
1928-05-26,,Deutsche Lufthansa,,Essen - Dortmund - Frankfurt,Junkers F-13,D-583,742,5.0,4.0,1.0,3.0,2.0,1.0,0.0,"After taking off and encountering fog, the pilot decided to  to make a precautionary landing in a field but t hit a cow, crashed and burned. Pilot error.","Radevormwald, Germany",51.202922799999996,7.3571392000000015,POINT (51.2029228 7.357139200000002),60.0,Germany,1928,0.0,Essen,"51.4556432,7.0115552",North Rhine-Westphalia
1928-06-22,,National Air Transport,,Chicago - Dallas,Douglas M-4,NC1059,628,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The mail plane flew into tornado like winds and crashed in a field.,"Lebo, Kansas",38.4166818,-95.8530441,POINT (38.4166818 -95.85304410000001),100.0,United States,1928,0.0,Chicago,"41.8781136,-87.6297982",United States
1928-08-25,11:00,British Columbia Airways,,Victoria - Seattle,Ford 4-AT-B Tri Motor,G-CATX,4-AT-26,7.0,5.0,2.0,7.0,5.0,2.0,0.0,Crashed into Puget Sound in dense fog 12 miles off Port Townsend.  Considered the first Canadian air disaster.,"Port Townsend, BC, Canada",48.123093,-122.78284,POINT (48.123093 -122.78284),100.0,United States,1928,0.0,Victoria,"44.8587227,-93.6615338",Minnesota
1928-09-02,91:5,CIDNA,,Toul - Clermont-Ferrand,Bleriot Spad 33,F-AIEP,5/4207,5.0,2.0,3.0,5.0,2.0,3.0,0.0,"After taking off the engine failed, the plane stalled and crashed.","Toul, France",48.6762624,5.8941759000000005,POINT (48.6762624 5.8941759),100.0,France,1928,0.0,Toul,"48.678296,5.890159",France
1928-09-04,11:30,National Parks Airways,,Great Falls - Pocatello - Salt Lake City,Fokker Super Universal,NC7242,809,7.0,6.0,1.0,7.0,6.0,1.0,0.0,"While flying low and circling six times for a landing, the mail plane went into a nose dive when the pilot headed into the wind and crashed to the ground, rolling over several times.","Pocatello, Idaho",42.86886129999999,-112.4401098,POINT (42.86886129999999 -112.4401098),100.0,United States,1928,0.0,Great Falls,"38.9987208,-77.2538699",Montgomery County
1928-10-31,,Air Union,,Paris - Lyon - Marseille,Bleriot Spad 56,F-AIMN,4381.9,2.0,1.0,1.0,1.0,0.0,1.0,0.0,The pilot attempted an emergency landing in a muddy field and crashed.,"Valence, France",44.9332277,4.8920810999999995,POINT (44.9332277 4.8920811),50.0,France,1928,0.0,Paris,"48.856614,2.3522219",France
1928-11-15,,Aeropostale,,Marseille - Palma de Majorca,Latecoere 32,F-AISN,80,3.0,,3.0,1.0,0.0,1.0,0.0,The sea plane stuck a lightning mast and crashed into houses. Pilot error.,Gibraltar,36.10674695,-5.3352771834835595,POINT (36.10674695 -5.33527718348356),33.33333333333333,Gibraltar,1928,0.0,Marseille,"43.296482,5.36978",France
1928-11-24,,Universal Airlines,,Cleveland - Chicago,Hamilton H-47,NC7521,46,3.0,2.0,1.0,3.0,2.0,1.0,0.0,The mail plane crashed in a heavy snow storm.,"Edgerton, Ohio",41.4486619,-84.7480123,POINT (41.4486619 -84.7480123),100.0,United States,1928,0.0,Cleveland,"41.49932,-81.6943605",United States
1928-11-25,,Continental Air Lines,,Cleveland - Louisville,Travel Air 4000,NC5436,525,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The mail plane crashed in a heavy snow storm,"Edgerton, Ohio",41.4486619,-84.7480123,POINT (41.4486619 -84.7480123),100.0,United States,1928,0.0,Cleveland,"41.49932,-81.6943605",United States
1928-12-01,10:00,Sunbeam Air Transport Co.,,San Antonio - Amarillo - Tulsa - Denver,Ford 4-AT-B Tri Motor,NC7862,4-AT-47,5.0,4.0,1.0,5.0,4.0,1.0,0.0,The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed. The plane was on a delivery flight.,"Spur, Texas",33.4764767,-100.85568570000001,POINT (33.4764767 -100.8556857),100.0,United States,1928,0.0,San Antonio,"29.4241219,-98.49362819999999",United States
1928-12-10,10:45,Spokane Airways,,Colfax - Spokane,Ford Tri-motor 4,NC7687,4-AT-045,5.0,3.0,2.0,5.0,3.0,2.0,0.0,The aircraft crashed while attempting to land in fog.,"Spokan, Washington",47.657193400000004,-117.42351059999999,POINT (47.6571934 -117.4235106),100.0,United States,1928,0.0,Colfax,"40.4331215,-79.9153733",Pittsburgh
1928-12-11,,Deutsche Lufthansa,,Cologne -  Berlin,Junkers G-31,D-1473,3005,4.0,1.0,3.0,3.0,0.0,3.0,0.0,"After a fuel line broke in flight, the pilot was forced to make an emergency landing in an open field. On landing, the aircraft crashed, overturned and came to rest in flames.","Letzlingen, Germany",52.4479235,11.4852603,POINT (52.4479235 11.4852603),75.0,Germany,1928,0.0,Cologne,"50.937531,6.9602786",Germany
1928-12-20,,National Air Transport,,Cleveland - Chicago,Douglas M-4,NC790,653,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The mail plane crashed into an apple tree during a snow storm after the pilot experienced spatial disorientation.,"Huron, Ohio",41.1305303,-82.591828,POINT (41.1305303 -82.59182800000001),100.0,United States,1928,0.0,Cleveland,"41.49932,-81.6943605",United States
1928-12-31,,CIDNA,,Strasbourg - Paris,Blériot Spad 66,F-AEHX,3359-40,3.0,2.0,1.0,2.0,2.0,0.0,0.0,Crashed into high ground in fog.,"Reims, France",49.2577886,4.031926,POINT (49.2577886 4.031926),66.66666666666666,France,1928,0.0,Strasbourg,"48.5734053,7.752111299999999",France
1929-01-18,,Varney Air Lines,,"Boise, ID - Pasco, WA",Stearman C-38,NC1682,102,1.0,0.0,1.0,1.0,0.0,1.0,0.0,While attempting to make an emergency landing on the Minam river the mail plane hit a bolder killing the pilot.,"Cove, Oregon",43.9792797,-120.737257,POINT (43.9792797 -120.737257),100.0,United States,1929,0.0,"Boise, ID","43.6150186,-116.2023137",United States
1929-01-25,,Aeroespresso,,Brindisi - Athens - Istanbul,CMASA Wal,I-AZDA,053,9.0,7.0,2.0,2.0,7.0,2.0,0.0,The passenger plane diverted off Kerkira in the Ionian Sea due to poor weather conditions and thunderstoms and sank in rough seas.,"Corfu, Greece",39.591337,19.8596189187339,POINT (39.591337 19.8596189187339),22.222222222222207,Greece,1929,0.0,Brindisi,"40.6327278,17.9417616",Apulia
1929-01-31,,Aeropostale,,Agadir - Casablanca,Latecoere 26,F-AIMU F-AIMU,674,2.0,0.0,2.0,2.0,0.0,2.0,0.0,"While cruising along the coast, the mail plane crashed into the Atlantic Ocean for unknown reasons.",Morocco,31.1728205,-7.3362482,POINT (31.1728205 -7.3362482),100.0,Morocco,1929,0.0,Agadir,"30.4277547,-9.5981072",Morocco
1929-03-30,09:18,New Standard Airlines,,Los Angeles - Phoenix - El Paso,Fokker F-VIIA,NC7888,617,4.0,3.0,1.0,4.0,3.0,1.0,0.0,"The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred.","Beaumont, California",33.92946060000001,-116.977248,POINT (33.92946060000001 -116.977248),100.0,United States,1929,0.0,Los Angeles,"34.0522342,-118.2436849",United States
1929-05-22,,Aeropostale,,Algiers - Marseille,Cams 53,F-AISX,07,6.0,3.0,3.0,4.0,3.0,2.0,0.0,The plane collided with a submerged object while taking off.,Algiers,36.775360600000006,3.0601882000000002,POINT (36.77536060000001 3.0601882),66.66666666666666,Algeria,1929,0.0,Algiers,"36.753768,3.0587561",Algiers Province
1929-06-13,08:00,Pan American Airways,,Santiago de Cuba - Havana,Fokker F-X,NC9700,1010,5.0,1.0,4.0,2.0,1.0,1.0,0.0,"Crashed while taking off. The muddy field prevented the aircraft from gaining altitude. The plane hit telephone wires and crashed. The plane was named ""Christopher Columbus"".","Santiago de Cuba, Cuba",20.0214787,-75.829491,POINT (20.0214787 -75.829491),40.0,Cuba,1929,0.0,Santiago de Cuba,"20.01693,-75.8301537",Cuba
1929-06-14,,Aeropostale,,Janeiro - Buenos Aires,Breguet 14,F-AFEJ,217,2.0,0.0,2.0,1.0,0.0,1.0,0.0,"Took off, lost power and altitude and crashed into a telegraph tower.","Barcelona, Spain",41.3828939,2.1774322,POINT (41.3828939 2.1774322),50.0,Spain,1929,0.0,Janeiro,"-22.9068467,-43.1728965",Brazil
1929-06-17,11:30,Imperial Airways,,London - Paris - Basil - Zuric,Handley Page W-10,G-EBMT,W10/4,13.0,11.0,2.0,7.0,7.0,0.0,0.0,"The plane was over the English Channel, approximately 3 miles offshore, when an engine failed. The pilot attempted to return to the airport but the plane ditched into the English Channel. Failure of a connecting rod on a cylinder due to fatigue.The plane was named ""City of Ottawa.""","Dungeness, England",50.914178299999996,0.9728940999999999,POINT (50.9141783 0.9728940999999999),53.84615384615386,United Kingdom,1929,0.0,London,"51.5073509,-0.1277583",England
1929-06-24,,Northwest Orient Airlines,,St. Paul - Minneapolis,Ford 5-AT-B Tri-Motor,NC7416,5-AT-002,8.0,6.0,2.0,1.0,0.0,1.0,0.0,All three engines failed shortly after takeoff causing the plane to stall and crash near Indian Mounds park.,"St. Paul, Minnesota",44.9504037,-93.10150259999999,POINT (44.9504037 -93.10150259999999),12.5,United States,1929,0.0,St. Paul,"40.44739639999999,-79.9498141",Pittsburgh
1929-08-24,,Deutsche Lufthansa,,Frankfurt - Berlin,Fokker FG II,D-757,1571,5.0,4.0,1.0,4.0,3.0,1.0,0.0,The aorcraft hit a hill in fog and poor visibility.,"Elm, Germany",52.1936843,10.8191524731989,POINT (52.1936843 10.8191524731989),80.0,Germany,1929,0.0,Frankfurt,"50.1109221,8.6821267",Germany
1929-09-03,11:01,Trans Continental Air Transport,,Albuquerque - Los Angeles,Ford 5-AT-B Tri Motor,NC9649,5-AT-002,8.0,5.0,3.0,8.0,5.0,3.0,0.0,"Shortly after departing the aircraft crashed into a Mt Taylor after encountering a thunderstorm and turbulence. The plane was named ""The City of San Francisco.""","Mt. Taylor, near Grants, New Mexico",35.153768,-107.822022,POINT (35.153768 -107.822022),100.0,United States,1929,0.0,Albuquerque,"35.0843859,-106.650422",United States
1929-09-06,,Imperial Airways,,"London, England - India",de Havilland DH-66 Hercules,G-EBMZ,239,5.0,2.0,3.0,3.0,1.0,2.0,0.0,"At night, the aircraft crashed short of the runway in low visibility.","Jask, Iran",25.6436156,57.774564399999996,POINT (25.6436156 57.7745644),60.0,Iran,1929,0.0,"London, England","51.5073509,-0.1277583",England
1929-09-14,,Aeropostale,,"Toulouse, France - Casablanca, Morocco",Latecoere 25,F-AIUJ,704,6.0,4.0,2.0,6.0,4.0,2.0,0.0,"Crashed at sea, 30 miles from Larache, Morocco for unknown reasons.",North Atlantic Ocean,40.0,-40.0,POINT (40 -40),100.0,,1929,0.0,"Toulouse, France","43.604652,1.444209",France
1929-09-17,,Aeropostale,,Toulouse - Perpignan - Barcelona - Alicante - Casablanca,Latecoere 25-3-R,F-AIUJ,704,5.0,3.0,2.0,5.0,3.0,2.0,0.0,Crashed into the Mediterranean for unknown reasons.,"Larache, Morocco",35.19523270000001,-6.152913,POINT (35.19523270000001 -6.152913),100.0,Morocco,1929,0.0,Toulouse,"43.604652,1.444209",France
1929-10-26,18:00,Imperial Airways,,Naples - Genoa,Short Calcutta (flying boat),G-AADN,S748,7.0,5.0,2.0,7.0,5.0,2.0,0.0,"The aircraft ditched in the ocean after encountering gale force winds. Sank while in tow. The plane was named ""City of Rome.""","Spezia, Italy",44.23836595,9.69123263454754,POINT (44.23836595 9.691232634547539),100.0,Italy,1929,0.0,Naples,"40.87613410000001,14.5198315",Campania
1929-10-29,,Continental Air Lines,,Cleveland - Louisville,Stearman C-38,,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,The mail plane crashed into a grove of trees 8 miles southwest of Mount Vernon in foggy conditons.,"Mount Vernon, Ohio",40.3933956,-82.4857181,POINT (40.3933956 -82.4857181),100.0,United States,1929,0.0,Cleveland,"41.49932,-81.6943605",United States
